Data Source,,,,,,,,,,,,,,,,,
Last Updated Date,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country Name,Indicator Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe & Central Asia,GDP (current US$),1.1074E+13,1.3489E+13,1.57226E+13,1.67478E+13,1.81281E+13,2.11788E+13,2.3242E+13,2.04432E+13,2.09247E+13,2.31826E+13,2.23407E+13,2.33492E+13,2.36547E+13,2.03646E+13,2.02738E+13,
Ecuador,GDP (current US$),28548945000,32432859000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.01726E+11,99290381000,98613972000,
"Egypt, Arab Rep.",GDP (current US$),87850683979,82924503943,78845185293,89685725230,1.07484E+11,1.30479E+11,1.62818E+11,1.88982E+11,2.18888E+11,2.36002E+11,2.79373E+11,2.88586E+11,3.0553E+11,3.32698E+11,3.32791E+11,
Euro area,GDP (current US$),7.17401E+12,8.85157E+12,1.01529E+13,1.05366E+13,1.1186E+13,1.28795E+13,1.41182E+13,1.29086E+13,1.26453E+13,1.36233E+13,1.26395E+13,1.31908E+13,1.34765E+13,1.16619E+13,1.19341E+13,
Spain,GDP (current US$),7.05146E+11,9.06853E+11,1.06956E+12,1.15728E+12,1.26455E+12,1.47934E+12,1.63502E+12,1.4991E+12,1.43162E+12,1.48807E+12,1.33602E+12,1.36185E+12,1.37691E+12,1.19779E+12,1.23726E+12,
Estonia,GDP (current US$),7322069511,9833870709,12059201242,14006088297,16963625016,22237061730,24194039256,19652492637,19490936349,23170239901,23043864510,25137153149,26224622451,22566956982,23337907619,
Ethiopia,GDP (current US$),7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64464547915,72374224249,
European Union,GDP (current US$),9.82271E+12,1.19572E+13,1.38067E+13,1.44412E+13,1.54054E+13,1.77958E+13,1.91367E+13,1.71015E+13,1.69927E+13,1.83526E+13,1.72902E+13,1.80269E+13,1.86324E+13,1.64107E+13,1.64873E+13,
Fragile and conflict affected situations,GDP (current US$),1.94032E+11,2.20476E+11,2.54384E+11,3.08822E+11,3.64922E+11,4.48717E+11,5.79391E+11,5.39488E+11,6.43371E+11,7.00476E+11,7.56983E+11,8.10325E+11,8.52106E+11,7.70044E+11,7.44251E+11,
Finland,GDP (current US$),1.39553E+11,1.71071E+11,1.96768E+11,2.04436E+11,2.16553E+11,2.55385E+11,2.83742E+11,2.51499E+11,2.478E+11,2.73674E+11,2.56706E+11,2.6998E+11,2.72609E+11,2.32439E+11,2.38503E+11,
Fiji,GDP (current US$),1842691481,2315935753,2727507213,3006725015,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4469573275,4391113415,4703632978,
France,GDP (current US$),1.50034E+12,1.84812E+12,2.12411E+12,2.20368E+12,2.32501E+12,2.66311E+12,2.92347E+12,2.69383E+12,2.64684E+12,2.86268E+12,2.68142E+12,2.80851E+12,2.84931E+12,2.43356E+12,2.46545E+12,
"Micronesia, Fed. Sts.",GDP (current US$),241543400,245277400,240097000,250149400,253372300,256548100,262868600,279966700,296525300,310502100,326128700,316040600,317999400,315179700,329895600,
Gabon,GDP (current US$),5310381151,6497305662,7756293575,9578973591,10318424464,12438956756,15508574820,12065138273,14358585196,18186479173,17171446922,17590745689,18179717776,14262032471,14213558130,
United Kingdom,GDP (current US$),1.76841E+12,2.0384E+12,2.39856E+12,2.5207E+12,2.69261E+12,3.07436E+12,2.89056E+12,2.38283E+12,2.44117E+12,2.6197E+12,2.66209E+12,2.73982E+12,3.02283E+12,2.88557E+12,2.6479E+12,
